#Strain	Comment
1051528	Monsanto Technology, LLC, PVP 201400502
1051540	Monsanto Technology, LLC, PVP 201400470
1051545	Monsanto Technology, LLC, PVP 201400471
1051547	Monsanto Technology, LLC, PVP 201400472
1051550	Monsanto Technology, LLC, PVP 201400473
1051556	Monsanto Technology, LLC, PVP 201400474
1051559	Monsanto Technology, LLC, PVP 201400475
1051574	Monsanto Technology, LLC, PVP 201400476
1051581	Monsanto Technology, LLC, PVP 201400477
1051583	Monsanto Technology, LLC, PVP 201400478
1051585	Monsanto Technology, LLC, PVP 201400479
1051589	Monsanto Technology, LLC, PVP 201400480
1051603	Monsanto Technology, LLC, PVP 201400481
1051604	Monsanto Technology, LLC, PVP 201600141
1051641	Monsanto Technology, LLC, PVP 201600369
1051773	Monsanto Technology, LLC, PVP 201500409
1051779	Monsanto Technology, LLC, PVP 201500410
1051835	Monsanto Technology, LLC, PVP 201500437
1051842	Monsanto Technology, LLC, PVP 201500411
1051877	Monsanto Technology, LLC, PVP 201500412
1051938	Monsanto Technology, LLC, PVP 201500413
1052002	Monsanto Technology, LLC, PVP 201400443
1052058	Monsanto Technology, LLC, PVP 201400444
1052085	Monsanto Technology, LLC, PVP 201500414
1052094	Monsanto Technology, LLC, PVP 201500415
1052098	Monsanto Technology, LLC, PVP 201500416
1052110	Monsanto Technology, LLC, PVP 201500417
1052125	Monsanto Technology, LLC, PVP 201400445
1052136	Monsanto Technology, LLC, PVP 201500427
1052164	Monsanto Technology, LLC, PVP 201400482
1052171	Monsanto Technology, LLC, PVP 201400483
1052173	Monsanto Technology, LLC, PVP 201400484
1056929	Monsanto Technology, LLC, PVP 201600370
1056963	Monsanto Technology, LLC, PVP 201500438
1057052	Monsanto Technology, LLC, PVP 201500445
1057072	Monsanto Technology, LLC, PVP 201600371
1057115	Monsanto Technology, LLC, PVP 201600042
1057162	Monsanto Technology, LLC, PVP 201500418
1057181	Monsanto Technology, LLC, PVP 201600372
1057255	Monsanto Technology, LLC, PVP 201500442
1057325	Monsanto Technology, LLC, PVP 201500443
1057348	Monsanto Technology, LLC, PVP 201600373
1057383	Monsanto Technology, LLC, PVP 201500444
1057408	Monsanto Technology, LLC, PVP 201600374
1057497	Monsanto Technology, LLC, PVP 201500446
1058444	Monsanto Technology, LLC, PVP 201600375
1058469	Monsanto Technology, LLC, PVP 201600342
1058472	Monsanto Technology, LLC, PVP 201500431
1058475	Monsanto Technology, LLC, PVP 201500451
1058513	Monsanto Technology, LLC, PVP 201600343
1058524	Monsanto Technology, LLC, PVP 201500432
1058528	Monsanto Technology, LLC, PVP 201600344
1058529	Monsanto Technology, LLC, PVP 201600345
1058565	Monsanto Technology, LLC, PVP 201500440
1058606	Monsanto Technology, LLC, PVP 201600346
1058613	Monsanto Technology, LLC, PVP 201500419
1058627	Monsanto Technology, LLC, PVP 201500420
1058664	Monsanto Technology, LLC, PVP 201500421
1058668	Monsanto Technology, LLC, PVP 201500422
1058683	Monsanto Technology, LLC, PVP 201500428
1058698	Monsanto Technology, LLC, PVP 201600347
1058711	Monsanto Technology, LLC, PVP 201600327
1058714	Monsanto Technology, LLC, PVP 201600348
1058718	Monsanto Technology, LLC, PVP 201600355
1058730	Monsanto Technology, LLC, PVP 201500423
1058733	Monsanto Technology, LLC, PVP 201500424
1058741	Monsanto Technology, LLC, PVP 201500425
1058744	Monsanto Technology, LLC, PVP 201500426
1058749	Monsanto Technology, LLC, PVP 201500429
1058766	Monsanto Technology, LLC, PVP 201500441
1058767	Monsanto Technology, LLC, PVP 201600356
1058771	Monsanto Technology, LLC, PVP 201500433
1058772	Monsanto Technology, LLC, PVP 201500430
1058780	Monsanto Technology, LLC, PVP 201500434
1058789	Monsanto Technology, LLC, PVP 201500435
1058808	Monsanto Technology, LLC, PVP 201500436
1058822	Monsanto Technology, LLC, PVP 201600357
1058861	Monsanto Technology, LLC, PVP 201600358
1058863	Monsanto Technology, LLC, PVP 201600359
1058864	Monsanto Technology, LLC, PVP 201600360
1059874	Monsanto Technology, LLC, PVP 201500448
1062055	Monsanto Technology, LLC, PVP 201600361
1062058	Monsanto Technology, LLC, PVP 201600335
1063878	Monsanto Technology, LLC, PVP 201600336
1063884	Monsanto Technology, LLC, PVP 201600337
1063886	Monsanto Technology, LLC, PVP 201600338
1063888	Monsanto Technology, LLC, PVP 201600339
1063892	Monsanto Technology, LLC, PVP 201600340
1063894	Monsanto Technology, LLC, PVP 201600341
1063900	Monsanto Technology, LLC, PVP 201600362
1063902	Monsanto Technology, LLC, PVP 201600363
1063903	Monsanto Technology, LLC, PVP 201600364
1063906	Monsanto Technology, LLC, PVP 201600365
1063907	Monsanto Technology, LLC, PVP 201600366
1063916	Monsanto Technology, LLC, PVP 201600367
1063918	Monsanto Technology, LLC, PVP 201600368
1063920	Monsanto Technology, LLC, PVP 201600328
1063921	Monsanto Technology, LLC, PVP 201600329
1063928	Monsanto Technology, LLC, PVP 201600330
1063935	Monsanto Technology, LLC, PVP 201600331
1063939	Monsanto Technology, LLC, PVP 201600332
1063940	Monsanto Technology, LLC, PVP 201600333
1063959	Monsanto Technology, LLC, PVP 201700327
1064013	Monsanto Technology, LLC, PVP 201700328
1064026	Monsanto Technology, LLC, PVP 201700329
1064056	Monsanto Technology, LLC, PVP 201700331
1064083	Monsanto Technology, LLC, PVP 201700330
1064099	Monsanto Technology, LLC, PVP 201700332
1064102	Monsanto Technology, LLC, PVP 201700333
1064104	Monsanto Technology, LLC, PVP 201700334
1064105	Monsanto Technology, LLC, PVP 201700335
1064108	Monsanto Technology, LLC, PVP 201600334
1064124	Monsanto Technology, LLC, PVP 201600349
1064143	Monsanto Technology, LLC, PVP 201600350
1064148	Monsanto Technology, LLC, PVP 201600351
1064152	Monsanto Technology, LLC, PVP 201600352
1064169	Monsanto Technology, LLC, PVP 201600353
1064177	Monsanto Technology, LLC, PVP 201600354
1064212	Monsanto Technology, LLC, PVP 201700336
1064460	Monsanto Technology, LLC, PVP 201700337
1064594	Monsanto Technology, LLC, PVP 201700338
1064806	Monsanto Technology, LLC, PVP 201700314
1064840	Monsanto Technology, LLC, PVP 201700317
1064868	Monsanto Technology, LLC, PVP 201700319
1064871	Monsanto Technology, LLC, PVP 201700320
1067515	Monsanto Technology, LLC, PVP 201700321
1068070	Monsanto Technology, LLC, PVP 201700322
1068087	Monsanto Technology, LLC, PVP 201700323
